OFFENSE DESCRIPTION,STATUTE,TYPE,CLASS,NIBR,UCR
DEL MARIJUANA > 5LBS DRUG FREE ZONE,481.134(b)(c),Offense,FELONY,35A,18
DEL MARIJUANA >1/4 OZ <= 5LBS,481.120(b)(3),Offense,FELONY,35A,18
DEL MARIJUANA >1/4 OZ <= 5LBS DRUG FREE ZONE,481.123(b)(d),Offense,,35A,18
DEL OFFER  DEL OF DANGEROUS DRUG,483.042,Offense,,35A,18
DEL TO MINOR VOLATILE CHEMICAL MB,484.005(a)(1),Offense,,35A,18
DEL W/INT SELL OF COUNTERFEIT INSTRUMENT MA,521.456,Offense,,35A,18
DELIVERY TO MINOR CS AT A BUSINESS,484.005,Offense,,35A,18
DELIVERY TO MINOR CS ON SCHOOL PREMISES,484.005,Offense,,35A,18
DESECRATION OF CEMETERY,711.0311,Offense,,290,14
DESTRUCTION OF U.S./TEXAS FLAG,42.11,Offense,,290,14
DISCHARGES FIREARM/PUBLIC ROADWAY,,Offense,,90C,24
"DISOBEYED FLASHING RED SIGNAL (AT STOP SIGN,",544.008,Offense,,TRF,TRF
ETC.),,,,,
DISOBEYED FLASHING YELLOW SIGNAL,544.008,Offense,,TRF,TRF
DISOBEYED GREEN TURN SIGNAL ARROW (SOLE,544.007,Offense,,TRF,TRF
SIGNAL),,,,,
DISOBEYED LANE CONTROL SIGNAL,544.009,Offense,,TRF,TRF
DISOBEYED NO LANE CHANGE SIGN,545.06,Offense,,TRF,TRF
DISOBEYED NO PASSING ZONE,545.055,Offense,,TRF,TRF
DISOBEYED OFFICIAL TRAFFIC CONTROL DEVICE,544.004,Offense,,TRF,TRF
DISOBEYED PEDESTRIAN CONTROL SIGNAL,552.002,Offense,,TRF,TRF
DISOBEYED POLICE OFFICER,542.501,Offense,,TRF,TRF
DISOBEYED RED SIGNAL (REGULAR TRAFFIC LIGHT),552.001,Offense,,TRF,TRF
DISOBEYED RR CROSSING GATE (OR FLAGMAN),545.251,Offense,,TRF,TRF
DISOBEYED SIGNAL AT RR CROSSING,545.251,Offense,,TRF,TRF
DISOBEYED TURN DEVICES AT INTERSECTION,545.101,Offense,,TRF,TRF
"(WHERE TO TURN, ETC.)",,,,,
DISOBEYED WARNING SIGN AT CONSTRUCTION,542.404,Offense,,TRF,TRF
DISOBEYED YELLOW SIGNAL (REGULAR TRAFFIC,552.001,Offense,,TRF,TRF
LIGHT),,,,,
DISORDERLY CONDUCT +3 PRIORS,42.01,Offense,,90C,24
DISORDERLY CONDUCT BY BREACH OF PEACE,42.01,Offense,,90C,24
DISORDERLY CONDUCT BY FIGHTING,42.01,Offense,,90C,24
DISORDERLY CONDUCT BY LOUD AND PROFANE,42.01,Offense,,90C,24
LANGUAGE,,,,,
DISORDERLY CONDUCT BY LOUD MUSIC,42.01,Offense,,90C,24
DISORDERLY CONDUCT DISCHARGE/DISPLAY,42.01(a)(9)(a,Offense,,90C,24
FIREARM,)(10),,,,
DISORDERLY CONDUCT-EXPOSE ANUS OR GENITALS,42.01,Offense,MISD,90C,24
DISORDERLY CONDUCT-PEEPING TOM,42.01,Offense,MISD,90H,26
DISPENSE DANGEROUS DRUG/CONTROLLED,142.03,Offense,,35A,18
SUBSTANCE,,,,,
DISPLAY EXPIRED MOTOR VEHICLE INSPECTION,548.254,Offense,,TRF,TRF
CERT.,,,,,
DISPLAY EXPIRED REGISTRATION/LICENSE PLATES,502.407,Offense,,TRF,TRF
DISPLAY FICTITIOUS / ALTERED REGISTRATION,TRC 502.475,Offense,MISD,TRF,TRF
INSIGNIA,,,,,
DISPLAY FICTITIOUS INSURANCE CERTIFICATE,TRC 548.603,Offense,,26A,11
DISPLAY INSPECTION CERT. ISSUED FOR ANOTHER,548.003,Offense,,TRF,TRF
VEH.,,,,,
DISPLAY INSPECTION CERT. ISSUED WITHOUT,548.003,Offense,,TRF,TRF
INSPECTION,,,,,
DISPLAY TRAFFIC SIGN OR SIGNAL BEARING,544.006,Offense,,TRF,TRF
ADVERTISING,,,,,
"DISPLAY WRONG, FICTICIOUS, ALTERED, OBSCURED",TRC 504.945,Offense,,TRF,TRF
LICENSE PLATE,,,,,
DISPLAY/POSSES AN EXPIRED CHAUF. LICENSE,521.021,Offense,,TRF,TRF
"(WHEN APPLICABLE)",,,,,
DISPLAY/POSSES AN EXPIRED COM. OPER. LICENSE,522.011,Offense,,TRF,TRF
DISPLAY/POSSES AN EXPIRED OPERATOR/DRIVERS,521.021,Offense,,TRF,TRF
LICENSE,,,,,
DISPLAY/POSSESS ALTERED OPERATOR/DRIVERS,521.451,Offense,,TRF,TRF
LICENSE,,,,,
DISPLAY/POSSESS FICTICIOUS CHAUF. LICENSE,521.451,Offense,,TRF,TRF
DISPLAY/POSSESS FICTICIOUS COM. OPER. LICENSE,521.451,Offense,,TRF,TRF
DISPLAY/POSSESS FICTICIOUS INSPECTION CERT.,548.603,Offense,,TRF,TRF
DISPLAY/POSSESS FICTICIOUS OPERATOR/DRIVERS,521.451,Offense,,TRF,TRF
LICENSE,,,,,
DISPLAY/POSSESS MORE THAN ONE VALID,521.451,Offense,,TRF,TRF
OPERATOR/DRIVERS LICENSE,,,,,
DISPLAY/POSSESS SUSPENDED CHAUFFEUR LICENSE,521.451,Offense,,TRF,TRF
DISPLAY/POSSESS SUSPENDED COM. LICENSE,521.451,Offense,,TRF,TRF
DISPLAY/POSSESS SUSPENDED OPERATOR/DRIVER,521.451,Offense,,TRF,TRF
LICENSE,,,,,
DISPLAY/POSSESS/PRESENT OPERATOR/ID LICENSE,521.451,Offense,,TRF,TRF
ISSUED TO ANOTHER,,,,,
DISREGARD WARNING SIGNS AND BARRICADES -,472.022,Offense,MISD,TRF,TRF
WATER OVER ROADWAY,,,,,
DISRUPTION OF CLASS,,Offense,,90Z,26
DISRUPTION OF TRANSPORTATION,,Offense,,90Z,26
DISTURBANCE,,Offense,,TRF,TRF
DOG FIGHTING,42.10(a)(1),Offense,,90Z,26
DOG FIGHTING CARE/FACILITY/PROPERTY FS,42.10(a)(2),Offense,,90Z,26
"DRAG RACING--ACCELERATION CONTEST, ETC.",545.42,Offense,,TRF,TRF
DRIVER OPENED DOOR (OR LEAVE DOOR OPEN) IN,545.418,Offense,,TRF,TRF
MOVING LANE OF TRAFFIC,,,,,
DRIVING IN VIOLATION OF OCCUPATIONAL LICENSE,521.253,Traffic,MISD,TRF,TRF
DRIVING UNDER INFLUENCE MINOR 3RD-ENH,106.041,Offense,,90D,21
DRIVING UNDER THE INFLUENCE (DEFERRED),,Offense,,90D,21
DRIVING UNDER THE INFLUENCE - MINOR,,Offense,,90D,21
DRIVING WHILE DISQUALIFIED/COMM VEH W/PREV,522.071,Offense,,90D,21
CONVIC MA,,,,,
DRIVING WHILE DISQUALIFIED/COMMERCIAL VEHICLE,522.071,Offense,,90D,21
MB,,,,,
DRIVING WHILE INTOXICATED >= 0.15 MA,PC 49.04,Offense,MISD,90D,21
DRIVING WHILE INTOXICATED 2ND,49.04,Offense,,90D,21
DRIVING WHILE INTOXICATED 3RD OR MORE,49.04,Offense,,90D,21
DRIVING WHILE INTOXICATED MB,49.04,Offense,,90D,21
DRIVING WHILE INTOXICATION WITH CHILD,PC 49.045,Offense,FELONY,90D,21
PASSENGER,,,,,
DRIVING WHILE LICENSE SUSPENDED/INVALID,521.457,Offense,MISD,TRF,TRF
DRIVING WHILE LICENSE SUSPENDED/INVALID - DWI,521.457,Offense,MISD,TRF,TRF
RELATED,,,,,
DRIVING WHILE LICENSE SUSPENDED/INVALID - PREV,521.457,Offense,MISD,TRF,TRF
CONV,,,,,
DROVE IN CENTER LANE (NOT PASSING OR NOT,545.06,Offense,,TRF,TRF
MAKING LEFT TURN),,,,,
DROVE INTO BLOCK WHERE FIRE ENGINE STOPPED,545.407,Offense,,TRF,TRF
DROVE ON (OR ACROSS) STREETCAR TRACKS,545.203,Offense,,TRF,TRF
"(WHERE PROHIBITED)",,,,,
DROVE ON WRONG SIDE -- DIVIDED HIGHWAY,545.063,Offense,,TRF,TRF
DROVE ON WRONG SIDE ROAD APPROACHING (OR,545.055,Offense,,TRF,TRF
TRAVERSING) INTERSECTION,,,,,
DROVE ON WRONG SIDE ROAD APPROACHING (OR,545.055,Offense,,TRF,TRF
TRAVERSING) RR GRADE CROSSING,,,,,
DROVE ON WRONG SIDE ROAD APPROACHING,545.056,Offense,,TRF,TRF
BRIDGE (VIADUCT OR TUNNEL),,,,,
DROVE ON WRONG SIDE ROAD APPROACHING RR,545.055,Offense,,TRF,TRF
GRADE CROSSING - OUTSIDE CITY,,,,,
DROVE ON WRONG SIDE ROAD AWAITING ACCESS TO,545.056,Offense,,TRF,TRF
FERRY (FERRY OP.D AND SIGNS POSTED BY STATE,,,,,
HIGHWAY COMMISSION),,,,,
DROVE ONTO (OR FROM) CONTROLLED ACCESS,545.06,Offense,,TRF,TRF
HIGHWAY WHERE PROHIBITED,,,,,
DROVE THROUGH SAFETY ZONE,545.403,Offense,,TRF,TRF
DROVE TO LEFT OF ROTARY TRAFFIC ISLAND,545.059,Offense,,TRF,TRF
DROVE W/O BEING SECURED BY SAFETY BELT,545.413,Offense,,TRF,TRF
DROVE W/O LIGHTS - WHEN REQUIRED,547.302,Offense,,TRF,TRF
DROVE WRONG WAY IN DESIGNATED LANE,545.06,Offense,,TRF,TRF
DROVE WRONG WAY ON ONE-WAY ROADWAY,545.059,Offense,,TRF,TRF
"DUTY ON STRIKING STRUCTURE, FIXTURE, OR",550.025,Offense,,TRF,TRF
HIGHWAY LANDSCAPING,,,,,
DUTY TO GIVE INFORMATION AND RENDER AID,TRC 550.023,Traffic,MISD,TRF,TRF
DWI (JUVENILE),,Offense,,90D,21
ELECTRONIC DATA TAMPERING,33.023,Offense,MISD,26E,11
ELECTRONIC SUBMISSION OF SEXUALLY EXPLICITY,21.19 (b) (1),Offense,MISD,90Z,26
VISUAL MATERIAL,,,,,
ELECTRONIC TRANSMISSION OF CERTAIN VISUAL,PC 43.261,Offense,MISD,370,26
MATERIAL DEPICTING MINOR,,,,,
EMERGENCY DETENTION,,Offense,,TRF,TRF
ENDORSEMENT VIOLATION ON CDL,,Offense,,TRF,TRF
ENGAGE IN ORGANIZED CRIMINAL ACTIVITY,71.02(a),Offense,,90Z,26
ENTICING A CHILD,25.04,Offense,,90F,20
ENTICING A CHILD W/INT FELONY,25.04,Offense,,90F,20
ESCAPE CAUSE BODILY INJ,38.06(d),Offense,,13A,04
ESCAPE CAUSE SBI/THREAT OF DEADLY WEAPON,38.06(e),Offense,,13A,04
ESCAPE FROM CUSTODY,38.06(a),Offense,,90Z,26
ESCAPE WHILE ARRESTED/CONFINED,38.06(c),Offense,,90Z,26
EVADING ARREST/DETENTION,38.04(b),Offense,MISD,90Z,26
EVADING ARREST/DETENTION CAUSE DEATH OF,38.04(b)(4),Offense,FELONY,90Z,26
ANOTHER,,,,,
EVADING ARREST/DETENTION CAUSE SBI OF,38.04 (a)(2),Offense,FELONY,90Z,26
ANOTHER,(b),,,,
EVADING ARREST/DETENTION USING VEH,38.04(b)(2),Offense,FELONY,90Z,26
EVADING ARREST/DETENTION USING VEH W/PREV,38.04(b)(2),Offense,FELONY,90Z,26
CONVIC,,,,,
EVADING ARREST/DETENTION W/PREV CONVICTION,38.04 (b)(1),Offense,FELONY,90Z,26
EXCESSIVE ACCELERATION,,Offense,,TRF,TRF
EXECUTIVE ORDER GA-28 (PUBLIC GATHERINGS),,Offense,MISD,90Z,26
EXECUTIVE ORDER GA-29 (MANDATORY FACE MASKS),,Offense,MISD,90Z,26
"EXPLOITATION OF CHILD, ELDERLY, OR DISABLED",32.53,Offense,FELONY,210,26
INDIVIDUAL,,,,,
EXTORTION,,Offense,,210,26
FAIL TO COMPLY WITH REGISTRATION,62.102(3),Offense,,90Z,26
REQUIREMENTS LIFE/90 DAY,,,,,
FAIL TO COMPLY WITH SEX OFFENDER,CCP 62.102,Offense,FELONY,90Z,26
REGISTRATION REQUIREMENTS,,,,,
FAIL TO REPORT CHANGE OF ADDRESS,521.054,Traffic,MISD,TRF,TRF
FAILED TO COMPLY WITH REQUIREMENTS ON,550.024,Offense,,TRF,TRF
STRIKING UNATTENDED VEH.,,,,,
FAILED TO CONCEAL SIGNS ON SCHOOL BUS,547.701(c),Offense,,TRF,TRF
FAILED TO CONTROL SPEED,545.351,Offense,,TRF,TRF
FAILED TO DIM HEADLIGHTS - FOLLOWING,547.333,Offense,,TRF,TRF
FAILED TO DIM HEADLIGHTS - MEETING,547.333,Offense,,TRF,TRF
FAILED TO DISPLAY OPERATOR/DRIVER LICENSE,521.025,Offense,,TRF,TRF
FAILED TO DRIVE IN A SINGLE LANE,545.06,Offense,TRF,TRF
FAILED TO GIVE ONE-HALF OF ROADWAY (MEETING,545.052,Offense,TRF,TRF
ONCOMING VEH.),,,,
FAILED TO GIVE WAY WHEN OVERTAKEN,545.058,Offense,TRF,TRF
FAILED TO GIVE WAY WHEN OVERTAKEN BY,545.203,Offense,TRF,TRF
STREETCAR,,,,
FAILED TO KEEP TO RIGHT ON MOUNTAIN ROAD,545.405,Offense,TRF,TRF
FAILED TO MAINTAIN FINANCIAL RESPONSIBILITY,601.191,Offense,TRF,TRF
FAILED TO MAINTAIN FINANCIAL RESPONSIBILITY -,601.191,Offense,TRF,TRF
2ND OFFENSE,,,,
FAILED TO PASS MET VEH. TO RIGHT,545.052,Offense,TRF,TRF
FAILED TO PASS TO LEFT SAFELY,545.053,Offense,TRF,TRF
FAILED TO PASS TO RIGHT SAFELY,545.057,Offense,TRF,TRF
FAILED TO REMOVE INJURIOUS MATERIAL FROM,600.001,Offense,TRF,TRF
HIGHWAY,,,,
FAILED TO SIGNAL - FOR STOP,545.105,Offense,TRF,TRF
FAILED TO SIGNAL - REQUIRED DISTANCE (BEFORE,545.104,Offense,TRF,TRF
TURNING),,,,
FAILED TO SIGNAL LANE CHANGE,,Offense,TRF,TRF
FAILED TO SIGNAL TURN (INCLUDING MOVING RIGHT,545.103,Offense,TRF,TRF
OR LEFT),,,,
FAILED TO SIGNAL WITH TURN INDICATOR,545.106,Offense,TRF,TRF
FAILED TO SOUND HORN - MOUNTAIN ROAD,545.405,Offense,TRF,TRF
FAILED TO STOP -- EMERGING FROM ALLEY,545.256,Offense,TRF,TRF
"(DRIVEWAY OR BUILDING, SPECIFY)",,,,
FAILED TO STOP AT DESIGNATED POINT (AT STOP,544.01,Offense,TRF,TRF
SIGN),,,,
FAILED TO STOP AT DESIGNATED POINT (AT YIELD,544.01,Offense,TRF,TRF
SIGN),,,,
FAILED TO STOP AT MARKED RR CROSSING,545.252,Offense,TRF,TRF
FAILED TO STOP AT PROPER PLACE (AT TRAFFIC,544.007,Offense,TRF,TRF
LIGHT),,,,
FAILED TO STOP AT PROPER PLACE (FLASHING RED,544.008,Offense,TRF,TRF
SIGNAL),,,,
FAILED TO STOP AT PROPER PLACE (NOT AT,544.007,Offense,TRF,TRF
INTERSECTION),,,,
FAILED TO STOP FOR APPROACHING TRAIN --,545.251,Offense,TRF,TRF
HAZARDOUS PROXIMITY,,,,
FAILED TO STOP FOR APPROACHING TRAIN --,545.251,Offense,TRF,TRF
WHISTLED,,,,
FAILED TO STOP FOR SCHOOL BUS (OR REMAIN,545.066,Offense,TRF,TRF
"STOPPED, SPECIFY)",,,,
FAILED TO STOP FOR STREETCAR -- OR STOP AT,545.202,Offense,TRF,TRF
WRONG LOCATION,,,,
FAILED TO USE DESIGNATED LANE (SLOW OR,545.064,Offense,TRF,TRF
FAILED TO USE DUE CARE FOR PEDESTRIAN,552.008,Offense,,TRF,TRF
FAILED TO YIELD AT STOP  INTERSECTION,545.151,Offense,,TRF,TRF
FAILED TO YIELD AT YIELD INTERSECTION,545.151,Offense,,TRF,TRF
FAILED TO YIELD FOR BLIND (OR INCAPACITATED),552.008,Offense,,TRF,TRF
PERSON,,,,,
FAILED TO YIELD RIGHT OF WAY,545.151,Offense,,TRF,TRF
"FAILED TO YIELD RIGHT OF WAY (PRIVATE DRIVE,",545.155,Offense,,TRF,TRF
"ALLEY, BUILDING)",,,,,
FAILED TO YIELD RIGHT OF WAY - CHANGING LANES,545.061,Offense,,TRF,TRF
FAILED TO YIELD RIGHT OF WAY - TURNING ON RED,544.007,Offense,,TRF,TRF
SIGNAL,,,,,
FAILED TO YIELD RIGHT OF WAY AT OPEN,545.151,Offense,,TRF,TRF
INTERSECTION (SPECIFY TYPE),,,,,
FAILED TO YIELD RIGHT OF WAY ON GREEN ARRIGHT,544.007,Offense,,TRF,TRF
OF WAY SIGNAL (ALONE OR WITH ANOTHER,,,,,
INDICATION),,,,,
FAILED TO YIELD RIGHT OF WAY ON GREEN SIGNAL,544.007,Offense,,TRF,TRF
FAILED TO YIELD RIGHT OF WAY ON LEFT AT,545.051,Offense,,TRF,TRF
OBSTRUCTION,,,,,
FAILED TO YIELD RIGHT OF WAY TO EMERGENCY,545.156,Offense,,TRF,TRF
VEH.,,,,,
FAILED TO YIELD RIGHT OF WAY TO PEDESTRIAN,552.001,Offense,,TRF,TRF
"(GREEN ARRIGHT OF WAY SIGNAL -- ALONE OR WITH",,,,,
ANOTHER INDICATION),,,,,
FAILED TO YIELD RIGHT OF WAY TO PEDESTRIAN,552.001,Offense,,TRF,TRF
"(TURNING RIGHT OR LEFT AT INTERSECTION HAVING",,,,,
GREEN SIGNAL),,,,,
FAILED TO YIELD RIGHT OF WAY TO PEDESTRIAN -- AT,552.002,Offense,,TRF,TRF
SIGNAL INTERSECTION,,,,,
FAILED TO YIELD RIGHT OF WAY TO PEDESTRIAN IN,552.003,Offense,,TRF,TRF
CROSSWALK,,,,,
FAILED TO YIELD RIGHT OF WAY TO PEDESTRIAN ON,552.006,Offense,,TRF,TRF
SIDEWALK,,,,,
FAILED TO YIELD RIGHT OF WAY TO VEHICLE,,Offense,,TRF,TRF
ENTERING FROM HIGHWAY,,,,,
FAILED TO YIELD RIGHT OF WAY TO VEHICLE IN,,Offense,,TRF,TRF
INTERSECTION,,,,,
FAILED TO YIELD RIGHT OF WAY TO VEHICLE LEAVING,,Offense,,TRF,TRF
HIGHWAY,,,,,
FAILED TO YIELD RIGHT OF WAY--TURNING LEFT (AT,545.152,Offense,,TRF,TRF
"INTERSECTION, ALLEY, PRIVATE ROAD OR",,,,,
DRIVEWAY),,,,,
FAILURE TO APPEAR,547.004,Offense,,TRF,TRF
FAILURE TO IDENTIFY,38.02,Offense,MISD,TRF,TRF
FAILURE TO IDENTIFY / FUGITIVE FROM JUSTICE,38.02(D)(2),Offense,MISD,90Z,26
FAILURE TO KEEP BICYCLE ON RIGHT SIDE OF,551.103,Offense,,TRF,TRF
ROADWAY,,,,,
FAILURE TO REPORT ABUSE OR NEGLECT,TFC 261.101,Offense,MISD,90Z,26
FALSE ALARM OR REPORT,42.06,Offense,FELONY,13C,08
FALSE REPORT TO PEACE OFFICER/LAW,PC 37.08,Offense,MISD,26A,11
ENFORCEMENT,,,,,
FEMALE GENITAL MUTILATION PROH UNDER 18YR FS,166.001,Offense,,13A,04
FIGHTING WITH ANOTHER,,Offense,,90C,24
FIREWORKS,,Offense,,90C,24
FIREWORKS REGULATIONS,2154.303,Offense,,90C,24
FISH PROHIBITED AREA,,Offense,,90Z,26
"FLASHING LIGHT (OR SIGN) WITHIN 1,000 FEET OF",544.006,Offense,,TRF,TRF
INTERSECTION,,,,,
FLEEING FROM POLICE OFFICER,545.421,Offense,,90Z,26
FLEEING POLICE OFFICER,545.421,Offense,,90Z,26
FLEEING POLICE OFFICER IMMINENT DANGER SBI,66.0091,Offense,,90Z,26
FLYING WHILE INTOXICATED,49.05,Offense,,90D,21
FOLLOWING FIRE APPARATUS OR AMBULANCE,545.407,Offense,,TRF,TRF
FOLLOWING TOO CLOSELY,545.062,Offense,,TRF,TRF
FORGERY,32.21,Offense,,250,10
FORGERY/GOV,32.21 (e)(1),Offense,FELONY,250,10
FORGING OR ALTERING PRESCRIPTION,483.045,Offense,MISD,90Z,26
FRAUD USE OR POSS OF CREDIT CARD OR DEBIT,32.315,Offense,FELONY,26B,11
CARD INFORMATION,,,,,
FRAUDULENT DESTRUCTION OR CONCEALMENT OF,PC 32.47,Offense,MISD,90Z,26
WRITING,,,,,
"FRAUDULENT DESTRUCTION, REMOVAL,",PC 28.06,Offense,MISD,90Z,26
CONCEALMENT OF WRITING,,,,,
FRAUDULENT POSSESSION OF A CS PRESCRIPTION,481.129(c)(2),Offense,,26A,11
FRAUDULENT USE/POSS OF IDENTIFYING INFO,PC 32.51,Offense,FELONY,26F,11
GAMBLING,47.02(a),Offense,,39A,19B
GAMBLING PROMOTION,47.03,Offense,,39B,19A
GIFT TO PUB SERVANT BY PERSON IN HIS,36.08,Offense,,510,26
JURISDICTION,,,,,
GRAFFITI: PECUNIARY LOSS <$100,PC 28.08,Offense,MISD,290,14
GRAFFITI: PECUNIARY LOSS <$100K,PC 28.08,Offense,FELONY,290,14
GRAFFITI: PECUNIARY LOSS <$1500,PC 28.08,Offense,MISD,290,14
GRAFFITI: PECUNIARY LOSS <$200K,PC 28.08,Offense,FELONY,290,14
GRAFFITI: PECUNIARY LOSS <$20K,PC 28.08,Offense,FELONY,290,14
GRAFFITI: PECUNIARY LOSS <$500,PC 28.08,Offense,MISD,290,14
GRAFFITI: PECUNIARY LOSS >$200K,PC 28.08,Offense,FELONY,290,14
GRAFFITI: PECUNIARY LOSS >=$100<$750,PC,Offense,MISD,290,14
GRAFFITI: PECUNIARY LOSS >=$150K<$300K,PC,Offense,FELONY,290,14
"",28.08(B)(6),,,,
"GRAFFITI: PECUNIARY LOSS >=$2,500<$30K",PC,Offense,FELONY,290,14
"",28.08(B)(4),,,,
GRAFFITI: PECUNIARY LOSS >=$300K,PC,Offense,FELONY,290,14
"",28.08(B)(7),,,,
GRAFFITI: PECUNIARY LOSS >=$30K<$150K,PC,Offense,FELONY,290,14
"",28.08(B)(5),,,,
"GRAFFITI: PECUNIARY LOSS >=$750<$2,500",PC,Offense,MISD,290,14
"",28.08(B)(3),,,,
"GRAFFITI: SCHOOLS, PLACE OF WORSHIP/HUMAN",PC 28.08,Offense,FELONY,290,14
"BURIAL, PUB MONUMENT, COMMUNITY CNTR",,,,,
GRAFFITI: WRSHP BURIAL/MNMENT/SCH >=$750<$30K,PC 28.08(D),Offense,FELONY,290,14
HARASSMENT,42.07(a),Offense,,90C,24
HARBORING RUNAWAY CHILD,25.06,Offense,,90Z,26
HARRASSMENT OF PUBLIC SERVANT,PC 22.11,Offense,FELONY,90Z,26
HEAD LAMP IMPROPERLY LOCATED ON MOT. CYC.,547.801,Offense,,TRF,TRF
"(OR MOTOR-DRIVEN CYCLE) (TOO HIGH, TOO LOW,",,,,,
SPECIFY),,,,,
"HEAD LAMP(S) GLARING, NOT ADJUSTED",547.333,Offense,,TRF,TRF
HEAD LAMPS ON MOTOR VEH.S,547.321,Offense,,TRF,TRF
HINDER PROCEEDINGS BY DISORDERLY COND,38.13,Offense,,90C,24
HINDERING APPREHENSION OR PROSECUTION,PC 38.05,Offense,MISD,90Z,26
HOAX BOMB WEAPONS FREE ZONE,46.11,Offense,,90C,24
HOAX BOMBS,46.08,Offense,,90C,24
HOMOSEXUAL CONDUCT,21.06,Offense,,90Z,26
"HORN VIOLATION (NO HORN OR DEFECTIVE, SPECIFY)",547.501,Offense,,TRF,TRF
HUNT AT NIGHT,62.004,Offense,,90Z,26
HUNT FROM VEHICLE,62.003,Offense,,90Z,26
HUNT W/ LIGHT,62.005,Offense,,90Z,26
ILLEGAL DUMPING,365.012,Offense,,90Z,26
ILLEGAL LOAD EXTENSION -- FRONT (OR REAR),621.206,Offense,,TRF,TRF
ILLEGAL LOAD EXTENSION TO LEFT (OR RIGHT) ON,621.201,Offense,,TRF,TRF
PASSENGER CAR,,,,,
ILLEGAL PASS ON RIGHT,545.057,Offense,,TRF,TRF
ILLEGAL RECRUITMENT OF AN ATHLETE,32.441(e)(4),Offense,,90Z,26
ILLEGAL USE OF METAL TIRES,547.612,Offense,,TRF,TRF
IMPEDING TRAFFIC,545.363,Offense,,TRF,TRF
IMPERSONATE PUBLIC SERVANT,37.11,Offense,,26C,11
IMPOUNDED VEHICLE,,Offense,,TRF,TRF
IMPROPER FLASHING LIGHTS,547.305,Offense,,TRF,TRF
IMPROPER HEAD LAMP ON MOTOR-DRIVEN CYCLE,547.801,Offense,,TRF,TRF
IMPROPER INFLUENCE,36.04,Offense,,510,26
"IMPROPER OR NO MUD FLAPS (TOO SHORT, ETC.)",547.606,Offense,,TRF,TRF
IMPROPER PHOTOGRAPHY OR VISUAL RECORDING,21.15,Offense,FELONY,370,26
IMPROPER SIGNS ON SCHOOL BUS,547.701(c),Offense,,TRF,TRF
IMPROPER TURN,545.103,Offense,,TRF,TRF
IMPROPER TURN OR HAND SIGNAL,545.106,Offense,,TRF,TRF
IMPROPER USE OF AUXILIARY DRIVING LAMPS,547.33,Offense,,TRF,TRF
IMPROPER USE OF AUXILIARY PASSING LAMPS,547.329,Offense,,TRF,TRF
IMPROPER USE OF BACK-UP LAMPS,547.332,Offense,,TRF,TRF
IMPROPER USE OF EMBLEM,547.703,Offense,,TRF,TRF
IMPROPER USE OF FOG LAMPS,547.328,Offense,,TRF,TRF
IMPROPER USE OF LASER POINTER,PC 42.13,City,MISD,90Z,26
IMPROPER USE OF SPOT LAMP(S),547.327,Offense,,TRF,TRF
IMPROPER USE OF TURN INDICATOR,545.104,Offense,,TRF,TRF
IMPROPERLY DIRECTED LAMP(S) (OVER 300 CANDLE,547.305,Offense,,TRF,TRF
POWER),,,,,
IMPROPERLY SECURED TAILGATE,725.021,Offense,,TRF,TRF
INADEQUATE (OR DEFECTIVE) BED (ESCAPING LOOSE,725.021,Offense,,TRF,TRF
MATERIAL),,,,,
INADEQUATE AIR BRAKE RESERVOIR,547.406,Offense,,TRF,TRF
"INADEQUATE BED (SIDEBOARDS, FRONT OR REAR",725.021,Offense,,TRF,TRF
"PANEL, SPECIFY)",,,,,
INADEQUATE RESERVOIR SAFEGUARD (AIR OR,547.406,Offense,,TRF,TRF
"VACUUM BRAKES, SPECIFY)",,,,,
INCEST,25.02,Offense,,36A,17
INCREASED SPEED WHILE BEING OVERTAKEN,545.058,Offense,,TRF,TRF
INDECENCY W/CHILD EXPOSES,21.11(a)(2),Offense,,11D,17
INDECENCY W/CHILD SEXUAL CONTACT,21.11(a)(1),Offense,,11A,02
INDECENT ASSAULT,22.012,Offense,MISD,11D,17
INDECENT EXPOSURE,21.08,Offense,,90C,24
INDECENT EXPOSURE,,Offense,,90C,24
INHALANT PARAHERNALIA W/INT DEL/MAN,485.034,Offense,,35B,26
INHALANT PARAPHERNALIA POSS TO INHALE,485.034(a),Offense,,35B,26
GLUE/PAINT,,,,,
INHALANT PARAPHERNALIA TO INGEST,484.004(a),Offense,,35B,26
INJURED / SICK PERSON,,Offense,,TRF,TRF
INJURY TO A CHILD - MENTAL,22.04(A)(2),Offense,FELONY,13A,04
INJURY TO A CHILD RECKLESS SBI/MENTAL,22.04(a)(1),Offense,,13A,04
INJURY TO A CHILD RECKLESS/CRIMINAL NEGLECT,22.04(a),Offense,,13A,04
INJURY TO A CHILD SBI,22.04(a)(1),Offense,,13A,04
INJURY TO A CHILD W/INT BODILY INJURY TO A,22.04(a)(3),Offense,,13A,04
INJURY TO A DISABLED PERSON RECKLESS,22.04(a)(1),Offense,,13A,04
SBI/MENTAL,,,,,
INJURY TO A DISABLED PERSON RECKLESS/CRIMINAL,22.04(a),Offense,,13A,04
NEGLECT,,,,,
INJURY TO A DISABLED PERSON SBI/MENTAL,22.04(a)(1),Offense,,13A,04
INJURY TO A DISABLED PERSON W/INT BODILY,22.04(a)(3),Offense,,13A,04
INJURY TO A,,,,,
